,Club Names,Club Short Descriptions,Club Long Descriptions,Club Urls
10,Alima International Dance Association (AIDA),Our goal is to teach members and surrounding community about cultural differences through the art of dance and music.,"Alima International Dance Association is a non-competitive dance group at the University of Connecticut. Our goal is to teach our members and the surrounding UConn community about cultural differences through the art of dance and music. Our dances tell stories of people from all around the world. We also showcase hip-hop, lyrical and modern routines choreographed by our dancers.  Alima celebrates diversity and and welcomes dancers of all abilities and backgrounds. ""Alima"" is a word of Arabic origin that means ""those who are skilled at music and dance"". The colors of Alima are red and black to represent strength and power. 
Our practices for the Fall 2023 semester are Thursdays 6:30-8:30 pm in the Student Union Room 304C and Sundays 3:30-5:30 pm in the Shippee Pequot Room (1288 Storrs Rd). No prior dance experience is necessary. All are welcome!",https://uconntact.uconn.edu/organization/alima
11,Alnisa - ٱلنِّسَاء,"NISA is a student-led organization that helps Muslim women achieve their goals by creating a space for networking, providing mentors, and fostering valuable relationships within a community that is often overlooked.","NISA aims to create a supportive community for Arab, African, and South Asian women, primarily Muslim, on our university campus. Our mission is to foster academic excellence and personal growth by instilling ambition, gratitude, determination, and generosity in our members. By connecting them with necessary resources and opportunities, we aim to empower these young women to achieve their goals and become active global citizens. NISA strives to be a welcoming place grounded in the faith.",https://uconntact.uconn.edu/organization/nisa
12,Alpha Beta Epsilon,"Alpha Beta Epsilon is a co-ed fraternity dedicated to advancing the science of biology and its allied interests, while promoting a social environment and providing service to the community. There is a rush and pledge process for this organization.","Founded in 2003, Alpha Beta Epsilon was built upon the pillars of Brotherhood, Knowledge, and Service. As the University of Connecticuts premier academic fraternity, we strive to connect like minded individuals of biology related majors. We are a co-ed fraternity who’s goal is to foster a balanced college environment and bring together a diverse group of students with similar interests. Over the years, members have been able to create a broad network of connections in many STEM fields, providing opportunities for research and in future career paths. 
 
Interested in joining? 
Follow us on Instagram for more information @abeuconn
 ",https://uconntact.uconn.edu/organization/abeuconn
13,Alpha Chi Omega,"Alpha Chi Omega was founded in 1885 by women who believed in the advancement of the intellectual, social and moral culture of its members. Today Alpha Chi is filled with smart, strong and compassionate women who share a genuine bond through sisterhood.","Alpha Chi Omega was founded in 1885 by women who believed in the advancement of the intellectual, social and moral culture of its members. Today Alpha Chi is filled with smart, strong and compassionate women who share a genuine bond through sisterhood. There are now over 230,000 members nationwide that cherish the same bond.
Alpha Chi Omega promotes the creation of unforgettable memories with countless experiences of friendship, leadership, learning and service as sisters. Becoming an Alpha Chi is not just for college; it’s for a lifetime. Together, Alpha Chi Omega sisters become Real. Strong. Women.",https://uconntact.uconn.edu/organization/alphachiomega
14,Alpha Epsilon Phi,"The mission of Alpha Epsilon Phi sorority is to inspire and support exemplary women dedicated to friendship and a lifelong commitment to Alpha Epsilon Phi, while building on the vision of our Jewish founders.","Who We Are.
Rechartered in 2007, the Alpha Xi chapter of Alpha Epsilon Phi at the University of Connecticut is an inclusive group of collegiate women who strive to uphold the columns of our insignia - beauty, strength and wisdom - whilst promoting academic excellence, philanthropy and service, and, most importantly, sisterhood.
Life After College.
These bonds of sisterhood represent a lifelong commitment, and will surely last beyond your years as a student at UConn. It is here that you will meet your best friends, your colleagues, and your bridesmaids. And of course, the doors to our house in Husky Village are always open to our alumnae, no matter what the occasion.
Core Values Statement:
Above all else, Alpha Epsilon Phi inspires exemplary women who are:
Enriched by sisterhood and unconditional friendships,
Dedicated to selfless service and inspiring others, and
Committed to intellectual growth and personal development.
As a lifelong member of Alpha Epsilon Phi, I will:
Respect our shared heritage and traditions,
Exhibit high ideals and moral character,
Fulfill expectations and responsibilities of membership, and
Continually exemplify the values of beauty, strength and wisdom
as embodied by the three columns of our insignia.
For more information, please visit our website our social media: 
instagram: @uconnaephi",https://uconntact.uconn.edu/organization/alphaepsilonphi
15,Alpha Gamma Chapter of Rho Chi National Pharmacy Honor Society,"The Rho Chi Society achieves universal recognition of its members as lifelong intellectual leaders in pharmacy. As a community of scholars, the society instills the desire to pursue intellectual excellence and critical inquiry in pharmacy.","The Rho Chi Society, pharmacy’s academic honor society, encourages and recognizes excellence in intellectual achievement and fosters fellowship among its members. Further, the society encourages high standards of conduct and character, and advocates critical inquiry in all aspects of pharmacy.
The Rho Chi Society will achieve universal recognition of its members as lifelong intellectual leaders in pharmacy.  As a community of scholars, the society will instill the desire to pursue intellectual excellence and critical inquiry to advance the profession.",https://uconntact.uconn.edu/organization/rhochi
16,"Alpha Kappa Alpha Sorority, Inc.","Alpha Kappa Alpha Sorority, Inc. was founded on the campus of Howard University in Washington, D.C. on January 15, 1908. Five years later, on January 29, 1913, the perpetuity of Alpha Kappa Alpha was ensured through its incorporation.","The Upsilon Mu Chapter of Alpha Kappa Alpha Sorority, Inc. was chartered on April 10, 2022.
Alpha Kappa Alpha Sorority Incorporated® is comprised of more than 325,000 initiated members in graduate and undergraduate chapters located in 12 countries including the United States, Bahamas, Bermuda, Canada, Dubai, Germany, Japan, Liberia, Nigeria, South Korea, South Africa and the U.S. Virgin Islands. Led by International President & CEO Danette Anthony Reed of Dallas, Texas, Alpha Kappa Alpha Sorority, often is hailed as “America’s premier Greek-letter organization for African American women.”
 
Alpha Kappa Alpha Sorority, Incorporated® was founded on a mission of five basic tenets that have remained unchanged since the sorority’s inception. Our mission is:",https://uconntact.uconn.edu/organization/alphakappaalpha
17,Alpha Omicron Pi,"Alpha Omicron Pi (ΑΟΠ, AOII) is an international women's fraternity promoting friendship for a lifetime, and inspiring both academic excellence and lifelong learning.","ΑΟΠ was founded on January 2, 1897 at Barnard College on the campus of Columbia University in New York. Its founders were Stella George Stern Perry, Helen St. Clair Mullan, Elizabeth Heywood Wyman, and Jessie Wallace Hughan. The founders met in the Columbia Law Library to begin their fraternity and to forever seal their friendships and the friendships of all future members. The philosophy which the founders guided their principles included membership to women who share their belief in lifelong friendship, service and love. Membership is offered to women regardless of ethnicity, religion or socio-economic background.
Today, Alpha Omicron Pi is an international women's fraternity, with 208 collegiate chapters (active and inactive combined) and 320 alumnae chapters in Canada and the U.S.A. Its international headquarters is located in Brentwood, Tennessee, and it is a member group of the National Panhellenic Conference, which is the governing council of the 26 member women's fraternities and sororities. It is the only member to the NPC to have one official color (cardinal), as all the other members have two to four official colors.
Like many other Greek organizations for women, Alpha Omicron Pi is a fraternity, not a sorority, although both terms are often used. The term sorority was not yet in widespread use at the time of Alpha Omicron Pi's founding, and therefore it is officially a ""fraternity for women."" The fraternity promotes the values of service, scholarship, and leadership.
Alpha Omicron Pi has only one jewel, the ruby. The occasional use of pearls or diamonds in special badges has no significance or special meaning.
A sheaf of wheat is a common symbol in AOΠ, found in the new member pin, the rings for the chapter president, alumnae chapter president, and International president. The binding together of wheat into a sheaf in the new member pin represents individuals bound by the common bond of Alpha Omicron Pi. The wheat indicates usefulness in its harvest.
The nineteenth-century French rose, 'Général Jacqueminot', a deep red rose, was chosen as the flower of Alpha Omicron Pi because its color is the symbol of the central and essential virtue of the fraternity. Its choice had no connection with any legend, poem or story. This strong red rose, with its overtones of courage and vigor, was selected for its richness of color and fragrance, combined with softness and modesty of bearing. The Jacqueminot rose is not available at most florists, so any deep red rose which is available may be used.
Believing in their beginnings in Greek tradition, ΑΟΠ does not have a coat of arms, but uses a Jacqueminot rose as their symbol. A coat of arms is a medieval or masonic tradition, and therefore has no roots in the Greek tradition. ΑΟΠ is the only Greek organization without a coat of arms.",https://uconntact.uconn.edu/organization/alphaomicronpi
18,Alpha Phi,"Alpha Phi International Fraternity is a membership organization dedicated to promoting sisterhood, cultivating leadership, encouraging intellectual curiosity and advocating service. Alpha Phi develops character for a lifetime.","Mission Statement of Alpha Phi International
Alpha Phi is a sisterhood of outstanding women supporting one another in lifelong achievement.
The sisterhood of Alpha Phi stretches from coast to coast through 171 collegiate campuses and more than 200,000 members.  Sisters share a commitment to excellence and a strong desire to help one another and their communities.  Alpha Phis are leaders, scholars, contributors and lifetime members of a sisterhood that values these traits. 
Alpha Phi assists college women in making informed choices to reach their highest potential. Alpha Phi enhances and promotes each member's development and learning by focusing on sisterhood, service, scholarship, leadership, loyalty and character development. 
The innovative leadership and organizational practices of Alpha Phi's Founders in 1872 set the spirit for the Alpha Phi of today...a sisterhood that values the past but looks forward to the progress offered by the future.
 
Alpha Phi Iota Lambda
 
 
For more information please visit: http://www.alphaphiuconn.com/ 
Other Links:
http://instagram.com/AlphaPhiUCONN
https://vsco.co/alphaphiuconn/images/1
 ",https://uconntact.uconn.edu/organization/alphaphi
19,Alpha Phi Omega,"Alpha Phi Omega is a national, co-ed service fraternity that has set the standard for college campus-based volunteerism. We strive to help each individual develop leadership skills, make friends, and provide service to others.","Alpha Phi Omega is a national, gender-inclusive service fraternity that has set the standard for college campus-based volunteerism. We strive to help each individual develop leadership skills, experience friendship on many levels, and provide service to others.",https://uconntact.uconn.edu/organization/alphaphiomega
20,Alpha Sigma Phi Fraternity,"Alpha Sigma Phi is a fraternity focused on bettering its members and the community through the pursuit of service, philanthropy, education, and social enrichment.",,https://uconntact.uconn.edu/organization/alphasigmaphi
21,"Alpha Zeta Omega Pharmaceutical Fraternity, Inc.","Alpha Zeta Omega is a co-ed professional pharmacy fraternity, that provides a great resource for students interested in pharmacy. We also participate in community outreach and various School of Pharmacy events that promote the profession of pharmacy.",,https://uconntact.uconn.edu/organization/azo
22,Alternative Break - New York/Storrs - Gender and Sexual Identity,This week long alternative spring break will focus on LGBTQ social and political activism. Participants will work with agencies that support the LGBTQ community in New York City. We will volunteer with agencies such as safe-sex educators and youth groups,"This trip is currently not running this year.
LGBTQIA+ Education, Identity, & Allyship Alternative Break.
Size: 12 participants, 1 student trip director, and 1 staff",https://uconntact.uconn.edu/organization/conytruecolors
23,"Alzheimer's Association, UConn",We are UCONN Alzheimer's Association!,"Our main purpose as an organization is to work as a team to continue the fight against Alzheimer's Disease through fundraising and spreading awareness! Join us for our exciting fundraisers, awareness events, social events, and community service volunteering at the local Nursing Home.

We are a very dedicated group, all sharing the same passion to fight Alzheimer's and support those currently suffering. We hope you decide to join our team this year! 

If you need to contact us, our officers are:
President: Pranav Singh
Vice President: Gunreet Grewal
Secretary: Marley Esch
Treasurer: Trevor Religa
Nursing Home Coordinator: Chloe Hurme
Marketing Chair: Abby Gwizdz
 
Please contact us at uconnalzassoc@gmail.com
 
Follow us on social media!
Facebook: www.facebook.com/uconnalz
Instagram: @uconnalzassoc",https://uconntact.uconn.edu/organization/uconnalzassoc
24,America Reads,America Reads works with K-5 students across CT to enhance students’ reading and writing skills through in-person literacy enrichment workshops.,"America Reads is a volunteer program that provides a valuable service to K-5 students. It stems from a nationwide effort to improve literacy and overall academic achievement in the U.S. This is a crucial aspect of education to focus on because we use our language skills so often. The ability to read fluently and comprehensively is often taken for granted, though it’s something that demands significant effort throughout K-5 education.
We attempt to create a more equitable, diverse learning environment to bridge achievement gaps that befall students. This is especially valuable as COVID-19 has introduced additional strain in the educational system.
Volunteers support this initiative by giving students direct help in the classroom through work in small groups or one-on-one. Mentors find fulfillment in providing children with an enriching educational experience that directs children towards meaningful careers.   
Volunteers are expected to devote 2 hours a week and attend monthly meetings/trainings to develop tutoring skills and strategies. 
 
Join our email list for more fall 2023 updates!
 
Click Here to Join the Email List",https://uconntact.uconn.edu/organization/coamericareads
25,"American Association Of Psychiatric Pharmacists (AAPP) , UConn Collegiate Chapter",A pharmacy student organization focused on the field of psychiatric pharmacy,"Our mission is to advance the reach and practice of psychiatric pharmacy and serve as the voice of the specialty. Our vision is a world where all individuals living with mental illness receive safe, appropriate, and effective treatment.",https://uconntact.uconn.edu/organization/aapp
26,American Constitution Society,"American Constitution Society (ACS) is the ""left-leaning equivalent of the Federalist Society."" We present a compelling vision of core constitutional values such as genuine equality, liberty, justice, and the rule of law.",,https://uconntact.uconn.edu/organization/uconnlawacs
27,"American Dairy Science Association, UConn Chapter of the","The Dairy Club participates in a variety of events pertaining to the Dairy Industry and agriculture throughout the year like bringing cows to the BigE, educational clinics, and the annual Spring Dairy Show. Join us if you are interested in dairy cows!","The Dairy Club participates in a variety of events, pertaining to the Dairy Industry and agriculture, throughout the year. Some of the highlights have been the annual trip to Toronto to view the Royal Agricultural Fair and bringing milking cows and heifers to the Big E in the fall, the Spring Tipoff Sale, as well as organizing the annual dairy show which is open to all UConn students. The Dairy Club also conducts many fundraisers throughout the year including the famous UConn Dairy Club milk bottles, cabot cheese made with milk from UConn's own dairy herd, and various UConn Dairy Club Merchandise. ",https://uconntact.uconn.edu/organization/ucdairyclub
28,"American English Language Institute, University of Connecticut","A place where you can meet, talk and hang out with people from different nationalities. Also, you can learn about other cultures and help some international students to improve their language skills at the same time.","UCAELI ( University of Connecticut American English Language Institute ) is a program at the University of Connecticut Storrs campus where students from different nationalities come to learn English as a second language. This program has been part of the University since 1991. It has provided high-quality instruction and access to the University's academic, professional, social and cultural resources to more than 3000 students. In recent years, UCAELI has decided to become more than just an academic program limited to international students. For this reason, the Institute has created this club. We would like to provide UConn students with the opportunity to meet and interact with people who have never lived in America. We believe that these interactions would broaden cultural understanding between our international and native University students. The main purpose of the club is to encourage UConn students to help the international students in improving their language and social skills. We will hold meetings, speeches, trips and activities that encourage UCAELI students to become involved in American culture.
Join us! And become a part of a great experience!",https://uconntact.uconn.edu/organization/ucaeli
29,American Institute of Aeronautics and Astronautics,The goal of the student branch of the American Institute of Aeronautics and Astronautics is to promote the study of aerospace sciences and engineering as well as promote the professionalism of those interested in these fields.,"The American Institute of Aeronautics and Astronautics is a professional organization dedicated to advancing aeronautics and astronautics, and promoting the professionalism of those engaged in these pursuits. (aiaa.org)
 
To take part in the club's activities, please join our Microsoft Teams Channel:
Teams Channel
If you missed our shop tour at the start of the Fall semester, no worries! Just join our MS Teams channel to jump into our club's activities at any time.
-------------------------------------------------------------------------------------------
Official Website: https://aiaa.engr.rso.uconn.edu/
Email: aiaauconn@gmail.com 
(Don't be afraid to send us a message if you're interested! We would love to answer any questions that you have)",https://uconntact.uconn.edu/organization/uconnaiaa
30,"American Institute of Chemical Engineers (AIChE), UConn Chapter of the",Serving Chemical Engineers Who Serve the World. AIChE is geared towards advancing the practice and theory of Chemical Engineering. Anyone who is interested in chemical engineering may join!,"UCONN Chapter:
The American Institute of Chemical Engineers is a professional development organization for chemical engineers. The UCONN Student Chaper is connected to a national network of chemical engineering professionals in education and industry. We are a student-led organization that facilitates networking, professional development, and extracurricular activities. 
National AIChE:
AIChE is the world's leading organization for chemical engineering professionals, with over 45,000 members from over 100 countries. AIChE has the breadth of resources and expertise you need whether you are in core process industries or emerging areas, such as nanobiotechnology.
As a member, you can access information on recognized and promising chemical engineering processes and methods. Connect with a global network of intelligent, resourceful colleagues and their shared wisdom. Find learning opportunities from recognized authorities. Move forward professionally with AIChE and enrich the world we live in.",https://uconntact.uconn.edu/organization/americaninstituteofchemicalengineers
31,American Medical Student Association,"Interested in a future career as a physician? Join AMSA! We aim to help fellow Pre-Med students advocate, educate, and network within the healthcare system through shadowing opportunities, guest speakers, and tons of MCAT strategy and study sessions!","Interested in a future career as a physician? Join AMSA! We aim to help fellow Pre-Med students advocate, educate, and network within the healthcare system through shadowing opportunities, guest speakers, and tons of MCAT strategy and study sessions as well as MCAT special discounts courtesy of our national partner Kaplan!
Follow us on instagram to stay up to date: @huskyamsa",https://uconntact.uconn.edu/organization/amsa
32,"American Medical Women's Association, UConn Chapter","The American Medical Women’s Association (AMWA) is an organization which functions at the international, national and local level to empower women in medicine and to ultimately improve women’s health.","The American Medical Women’s Association (AMWA) is an organization which functions at the international, national and local level to empower women in medicine and to ultimately improve women’s health. These goals are achieved by uniting women through fellowship, addressing systemic bias and discrimination against women in the healthcare sector, connecting with a larger community of women through service projects, and highlighting women’s achievements in healthcare.
At the AMWA UConn Chapter, we seek to optimize education and help connect members to mentorship, research, volunteer, shadowing, advising, and networking opportunities in addition to providing leadership and advocacy opportunities. AMWA UConn serves as both a welcoming community and a resource for members. Our goal is to prepare members for the medical school process and to support them throughout their time at UConn while promoting women’s rights.
Membership is open to all those (graduate students, and undergraduates of any gender) who wish to advance women in medicine and further women’s rights.
Joining AMWA will give you access to: 
**Note: If you are interested please hit the ""join"" button, you will be emailed shortly :]",https://uconntact.uconn.edu/organization/amwauconn
33,"American Red Cross Club, UConn","We are a service club on campus that functions to provide the UConn community with necessary Red Cross services, to aid in the collection of donated blood, and to provide the surrounding community with health related services.","We are a service club that organizes and runs all blood drives on campus. We work hand in hand with the American Red Cross and the hard work of our members has earned us the honor of being the largest collectors of blood for the state of Connecticut. We look to create a community of volunteers who love to help others and have fun while we are at it!
 
To find out more information about the club and club meetings, join the mailing list!
To find a blood drive on campus, go to http://redcross.rso.uconn.edu/ and click 'Sign Up to Donate.' The sponsor code is 1200.",https://uconntact.uconn.edu/organization/americanredcross
34,"American Society of Civil Engineers, UConn Student Chapter","ASCE meets to provide social and networking opportunities to Civil Engineering students. We hold events to bring you into contact with professionals currently working in the Civil Engineering field, as well as other students attending UConn.","ASCE meets to provide social and networking opportunities to Civil Engineering students. We hold events to bring you into contact with professionals currently working in the Civil Engineering field, as well as other students attending UConn.
These events include resume reviews with members of CSCE (the Connecticut branch of ASCE), hosting professionals from local companies to discuss their role and internship opportunities, and other fun activities.",https://uconntact.uconn.edu/organization/americansocietyofcivilengineers
35,American Society of Consultant Pharmacists - UConn Chapter,To educate students about consultant pharmacy and to prepare them for taking care of American's fastest growing population - the elderly.,,https://uconntact.uconn.edu/organization/uconnascp
36,Amnesty International,"Amnesty International is a global movement of millions of people demanding human rights for all people. We work to protect people wherever justice, freedom, truth and dignity are denied.",,https://uconntact.uconn.edu/organization/amnesty
37,An Cumann Gaelach (Irish Language Society),Ag obair le chéile chun an Ghaeilge a neartú anseo i UConn! Working together to strengthen the Irish language here at UConn!,"Is í príomhaidhm an Chumainn an Ghaeilge a fhorbairt sa Choláiste agus í a spreagadh i measc mhuintir an Choláiste. Chomh maith le sin, déanfaidh An Cumann gnéithe eile de chultúr na hÉireann a chothú sa Choláiste trí mhéan na Gaeilge. Is é an Coiste a chaithfidh socrú a dhéanamh maidir le conas a bhainfear amach na haidhmeanna seo. Mar sin, beidh cruinnithe, léachtanna, céilithe, turais agus araile go rialta i rith na scoilbhliana.",https://uconntact.uconn.edu/organization/ancumanngaelach
38,Animation Society,"The Animation Society is a club for animators and illustrators, of any experience level, dedicated to joining a close community of passionate artists looking to grow and hone their skill...And occasionally play fun games or watch animated films ^^","Do you love 2D or 3D Animation? Illustration? Concept art? Stop Motion Animation? Are you looking to become an animator, or just get better at animating/art as a hobby? The Animation Society is a club for and by animators—of any experience level!
Join our discord! https://discord.gg/rYkaDKyeMn
Whether you've animated before or not, join a community of other passionate animators here on the Storrs campus, dedicated to improving ourselves and each other. 
 
Any experience level welcomed, casual or professional, traditional or digital. As long as you'd like to animate, and you'd like to learn with us, feel free to join.
⚠️❗️Click the globe icon below to join the discord! v ⚠️❗️",https://uconntact.uconn.edu/organization/animationsociety
39,"Anime Club, UConn","Have you wanted to share your interest in anime in person instead of online but didn’t know where to go? UConn Anime Club is a place for those interested in anime and related media to discuss, and participate in activities and events together!","UConn Anime Club was started to create a space devoted to those interested in anime to gather and share their interests and hobbies. We host a variety of unique events including movie nights, seasonal anime previews, and game nights with games such as anime Pictionary. People both new and old to the fandom are welcome to join.
Spring 2023: We meet every Wednesday from 6:30 - 8:30pm in Monteith 419
Join our Discord: https://discord.gg/Wk9TswB
 
Drop in any time you can!
 
 ",https://uconntact.uconn.edu/organization/anime-club
40,Anthropology Club,"A club for people interested in the various aspects of Anthropology! All are welcome regardless of major. We host talks, activities, and field trips. We also host the UConn chapter of The Lambda Alpha National Anthropology Honor Society.","Learn about the field of anthropology, get advice from upperclassmen, and hang out with people with a common interest. We also plan events and trips related to anthropology to further connect students with the field. All majors welcome!
 ",https://uconntact.uconn.edu/organization/anthroclub
41,AP Knitting Club - Avery Point Campus,"A club for anyone who enjoys knitting, crocheting, weaving or other forms of artistry with yarn. Knit club provides an environment to share ideas, get advice and improve individual skills.","A club for anyone who enjoys knitting, crocheting, weaving or other forms of artistry with yarn. Knit club provides an environment to share ideas, get advice and improve individual skills. Members can choose their own knitting projects or try one of the projects provided.  ",https://uconntact.uconn.edu/organization/knitclubap
42,Arab Students' Association,"Join us as we explore the colorful culture, diverse language, and rich history of the Arab world. We celebrate Arabian music, art, film, and food, and even discuss current events. We strive to embrace unity and love in our homeland and beyond.","The Arab Students' Association at the University of Connecticut is a cultural non-profit organization dedicated to highlighting the many intellectual, artistic, cultural, and historical aspects of one of the world's oldest and richest cultures. The organization aspires to promote and express the hospitable customs of Arabs via celebrations of Arabian music, art, film, language, and food. Furthermore, the organization is dedicated to generating positive change in the world by promoting unity and love, not just in their home country but also worldwide. The Arab Students' Association at UConn is a friendly community for everyone who wants to learn about and connect with Arab culture.",https://uconntact.uconn.edu/organization/asauconn
43,"Archery Club, UConn",A student run organization to help new members learn how to shoot as well as a place for more advanced members to travel together as a team and compete in different locations.,"DISCLAIMER:
Please note that the UConn Archery club will only accept new members at the beginning of each fall semester.  The reason for this is that during the spring, we do all of our traveling and competing, so the club focuses primarily on completing those tasks.  We will be at the fall semester involvement fair and if you are interested in joining next year please email the club and we will add you to the mailing list for next year.
 
Practice times for the Fall 2023 semester:
Mondays: 5pm-7pm indoors at the Hawley Armory",https://uconntact.uconn.edu/organization/archeryclub
44,Art and Art History Club,"The Art and Art History Club strives to engage students with art and its historical processes, and to create a community of art and art history enthusiasts. We will promote student engagement with local and global art currents. Open to all students!","The Art and Art History Club strives to engage students with art and its historical processes, and to create a community of art and art history enthusiasts. We will promote student engagement with local and global art currents. Open to all students–no experience required!",https://uconntact.uconn.edu/organization/artandarthistoryclub
45,"Art Club, UConn","Art club is a place to draw, talk, and make friends! Open to artists of any and all skill levels :)","Art club is a place to draw, talk, and make friends! Some of our activities include free drawing, art games/prompts, and watching movies. We're open to artists of any and all skill levels, so please feel free to stop by!
Meetings for Fall 2023 semester are TBD
Join our Discord for updates: https://discord.gg/eEwx2ChjQY",https://uconntact.uconn.edu/organization/artclubuconn
46,"Artificial Intelligence Club, UConn",The mission of this organization shall be to provide a collaborative environment in which we can learn about and further understand the applications and mechanisms of AI through discussion and self-driven work.,"Welcome to UConn AI Club!
Linktree: https://linktr.ee/uconnaiclub
Join our Discord: https://discord.gg/bXWtFCq",https://uconntact.uconn.edu/organization/uconnaiclub
47,"Arts, Entertainment & Sports Law Society","AESLS is an organization dedicated to establishing connections between the UConn Law community and arts, entertainment, and sports law practitioners, facilitating students' access to resources and opportunities in this diverse and evolving field.",,https://uconntact.uconn.edu/organization/aesls
